pool,token0,token1
0xE5Dc9c75D4514A5a7fe370e636560699bA83C702,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf20d962a6c8f70c731bd838a3a388D7d48fA6e15
0xAEc2BECB0711b263C665f1Bc813c1f53F97C991a,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xB3fe5374F67D7a22886A0eE082b2E2f9d2651651
0x47F1C2a9c9027A10C3b13D1c40DD976C5014339B,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xde3A24028580884448a5397872046a019649b084
0x27dA820d8159942A8882d339195094cc6eb35453,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xa1708efD71E516A2D0Ebd7eC8D877C02d4d2De6d,0x60781C2586D68229fde47564546784ab3fACA982,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xAe0ffC93315A5215047Ded27880aC50a537e0a2E,0x408D4cD0ADb7ceBd1F1A1C33A0Ba2098E1295bAB,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xF272D5D0A633c463e3bf4d14C9FB4704057Cd342,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf39f9671906d8630812f9d9863bBEf5D523c84Ab
0x787BE602db491E23B9C278673660bBED437F7898,0x008E26068B3EB40B443d3Ea88c1fF99B789c10F7,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xeDE97B96Adc4593C12aead144B6F2887375A0506,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xC38f41A296A4493Ff429F1238e030924A1542e50
0xb40a3c121074B4cbc9e366dA64bD0E7a3510E5E6,0xde3A24028580884448a5397872046a019649b084,0xf20d962a6c8f70c731bd838a3a388D7d48fA6e15
0xFd4cBD1bbF1088a02A4D0de6B59E5F4448596F0E,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0xe896CDeaAC9615145c0cA09C8Cd5C25bced6384c
0x927FBa48ED03f5c9c127511499d1E8C23A3Cf8eF,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0x60781C2586D68229fde47564546784ab3fACA982
0x7fC59DE025072756F5C382b157110F94e960019a,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xE9D00cBC5f02614d7281D742E6E815A47ce31107
0xEA75537C35d26633071Cf25f7F061b13E4E36b54,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0x8cE2Dee54bB9921a2AE0A63dBb2DF8eD88B91dD9
0x46569857A37771Ba898A28b778Fb20b72D885173,0x4C9B4E1AC6F24CdE3660D5E4Ef1eBF77C710C084,0xde3A24028580884448a5397872046a019649b084
0x766885Cf6617c1c4e52033C9283059B779688765,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0xf20d962a6c8f70c731bd838a3a388D7d48fA6e15
0xB0F5aC7C69c582Aa8f5Df254717EF547d6e4ac0E,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xDC42728B0eA910349ed3c6e1c9Dc06b5FB591f98
0xc9206eEB0c3483A6b7F9Cf0fDdE2cdbc26831AA6,0x6e7f5C0b9f4432716bDd0a77a3601291b9D9e985,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xf152b27DF4C6cb6A10BC7D573EA4fBf6569266cD,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xD79A36056c271B988C5F1953e664E61416A9820F
0x034c1B19DaB61b5de448eFc1E10A2E592725C893,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xbA7dEebBFC5fA1100Fb055a87773e1E99Cd3507a
0x5AE05320976c8b1C37E81B2e77a0b6814500D077,0x76b7285877C3BaE817570e47F0971f81b904BfB7,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x2d205B9845dEaD678A16815A1A8b4380328549AF,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xD7c295E399CA928A3a14b01D760E794f1AdF8990
0x576007651142DD1056E8a792533a9c4925748660,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xe896CDeaAC9615145c0cA09C8Cd5C25bced6384c
0x2c3E6dF8e27DD19399b5880FDbc302de0bc9CDfB,0x61Ed1C66239d29Cc93C8597c6167159e8F69a823,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x6Ed8E1FeA8fb42f73aB94A559F832643f657b8c3,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xE4d40C37905d08b08b2Dd60E445aB287eF353E65
0x09657b445dF5BF0141e3EF0f5276a329fc01DE01,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xc7198437980c041c805A1EDcbA50c1Ce5db95118
0xd602f16f5bD78731cF6b2447ec7CAff0bC01c9FD,0x30049DA4F5a57Bff7C3dF3422413f88F32e13Cf1,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x3944f2f605f80C491C564a6914F38F734A5E97B1,0xa7809BC3EE459Fc7E0B0496Ffa6AAa177dd51821,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x9f493E6E74fc84996CCEeC2721929cE3213b70D5,0x97746E000D68943E009569917c3Dc94D2458e996,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x56f2c8C9Bce12E3519F4322f32D62C9E8997d8DB,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xF4c1418A7539EE5f4f418fDFDC833210847D6082
0x910b9506A61f938FA69176f4F18304187B8A79a2,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xBB92f804F2F1F9F1D68a14a5C6a17f242629d389
0x644d6365e287eEDc99A7CCC1977c19a5650C61a4,0x467AF0fB4FbDF658d060CfF4c09C40d634aa66E2,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xf4Caf7B62728A73c0558eA741cf41365e55826C9,0x463de4fCE991763C1612c3f08c6C5D95579134a0,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x8Af7d6C0906f0fA10ce5C4b1894F684f1f14a3A8,0x309E29BB5B41b1B693544EFe4cbA9263d39C4Ba9,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xe9B0fd03e1ce74F96Aff953Ac20b250c4974cfc9,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xdc9bcb8d3e586F452B1A95B57BBd3845C51E7C38
0x29E10F100AC90cD7c0Cc704c6d0425df04D43613,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xe677bdc4f5AC7EF7701F4199f25aBAD34d41fd7F
0xC886A81D128D1Ab42564D07333D02ca4B8AB5d0d,0x0C56938DC4bE6fc6B5641445be21644797cE251A,0xe677bdc4f5AC7EF7701F4199f25aBAD34d41fd7F
0xD3A499bb6bE8D5d60e783212B8aa521Dd6AA7C67,0xba03f1886F3659bF30b87aC8a03949602C4664A3,0xf06624d005c62E7263207D7d2d9A5cD590E7Aa39
0x204AE948FAe55288b39c24Fb3132eF69c5EC26F2,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xb54f16fB19478766A268F172C9480f8da1a7c9C3
0x801a6792604f83485E4993047e7508063C04d605,0x6AFD5A1ea4b793CC1526d6Dc7e99A608b356eF7b,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xAd070689e55aDb2ed9b2384A466751D32392c329,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,0xFc9c0bEC72D59Ea9e117ff57E4eC494855c86abC
0x24F01f3dCdeE246567029Bce8830a866C9CD2b1e,0x37B608519F91f70F2EeB0e5Ed9AF4061722e4F76,0xe896CDeaAC9615145c0cA09C8Cd5C25bced6384c
0x2FdE1c280a623950b10b6483B9a0C23549c9B515,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xE41f8117d6828482d4797Bd305eac7159dCbC10C,0x8a0cAc13c7da965a312f08ea4229c37869e85cB9,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x4F4940Fc0A0Af7184C4165aacb483957AB62e96B,0xA9D633A1ac5Aa995C5e4F7d915ADe1Be565A97e8,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x459Eb852799057912138519eab28c8E0c227C42c,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70
0x0208F3e7Fd7dA812Be2D54610B61F15b5be43fbf,0x4ACcE12425695DEBF1c54C40423dB998ADF41d9B,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xe1051D42F623a1794D347AEbeB2612bed2ffC667,0x50b7545627a5162F82A992c33b87aDc75187B218,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x708c1b2ae45d9F5986bF4fcB0A0120fe0DB20dC3,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,0xc7198437980c041c805A1EDcbA50c1Ce5db95118
