pool,token0,token1
0xcD45c2C9B454d122960BAed45978D0F4689D6dd2,0x8686910A9315590c0B338C23d204D199bC3a0e1B,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xca60768b4c888F4a7fFafE8C2Ce8971d0F7dbC61,0x00Ae8C04Be1111718823E7f12aD951b7EAECE919,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664
0xc2586F93b5902CfE9cf86fB6C001Ac16DF6675Cc,0x1eeF92fe3F0Dc028dEF048de6C6bdC6276BA58f8,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x2c5e316e6CbabD809250F1bC52A99757766337d4,0x8f946646dd184a935B571405C4b2ABca41ba1Bf4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x1e5e393bC6028c964b3b84A9884D41cbf9AE247E,0x5a73710AA5F733852Afbe2dFdFb08128dFdE5f6f,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xefC36008e33a34B57686846C1511F53676A578A4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xCa3dFd123e606f4aEE94c6414E67Dc3e73A1C416
0xD6B23A74a4BF4c0Ea54d47B7006d2223D81370c0,0x6f4Eb44457B72B9BEA2BE2E761642A8383d9E9CF,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x61e6eB508278DCD58F6b35Ee4DdFB581a5F84e93,0x00527D686C8B319543394E67035DE40baC286CA5,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x69cFDb86Ed583F96C655Cfe2255fbC8E717b5CF4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xc1835F13aa75b2276865bEb72f1801ff5abeB588
0x6AA44b3B66E7b49dC60E02075Cf668500408a3d6,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xB98AAB89D574C13d45E5B1980223917D626fE2A3
0xc4035Fc081e20a4d4B102D00f3bE29E8697577B2,0x8aa86f897D69Eb988B78b33245446BDdA8B1EE57,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x34CfA07945A6cA0076b5fB8734991A2F9014bac6,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xBC93FEdd044d47924aD66Fa2616373eF64A4ca2b
0xD827Bb8EbadF2190f569F9a7Cd7c2F2c456BEA01,0x320aDa89DbFA3A154613D2731c9BC3a4030DbA19,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xf3875210D4d748eFA93E4c48F32f2130D594E8AA,0x69d6499751A4651189f0dA2713215Cb7Eec7411c,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xFa5F7fDDe898B269aBe08dC9561f9dd23A3c070e,0x130966628846BFd36ff31a822705796e8cb8C18D,0x5E71Ea25366AD3267cB8B27c2f00F2a59a0F4d09
0xcbDBE800615B9DD37C6D0376645cebbbA073Ac2E,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf1349D408730Fb55Cf5E8c32b927B1Be1D215cDa
0x782e0A0d0FaA6A30c43A89c32B6685245450Db5A,0x56649FDf42135563073cDA3A893af269F9F7bc95,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x32Eb95b27ccAAc5B50552566E58532D9Bbd5Bb31,0x72957d48dCb25Ae59a0B8521aD00cF7De345c971,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xFE13B5b9b0aCd4f74AB5c230fbC0DC5D75b21fd4,0x3f5626F89D6d72681FA017D5bADb61ee248fed06,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xF66C2243da4C61Ae73473AB3426e717874a4B54c,0x52fABB67761bcd14849e8C85c267C50606E78Ef4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x5253e46C755CFCE357fdDF02Ef89f9842a2466b2,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf07c0009d8e403caEA8a01F12020C9380A8fDD9C
0x7Bb31Def53B21C3B0cB7f4158B789Ca2BaeE49b7,0x8d9E14ec0D5cBBaD55c4F3aae66427b8B213A08d,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x4b33281aD7213EF972A38EDC9b84D48982AF4bd5,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xC969BeEfeCC666e733D7FCcF54c683ba5A9D6855
0x6f29BDe0c18e190Bb819bf566BbdB8eB3a79a167,0x33D33a7FaebdAa68C43250F35cDCb209C6081b70,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xe7A159c079eccBe14bB552A236404F0437BaA2f8,0x394728D3f05e390489462fbB0c1a297409b6724C,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xC6FB1336071302EcE8D728706450a43d0af9Adda,0x965D665B94c363F65b9bf91847ffa486a4607Fa6,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x7F50e38AF3ae0bcC6F78753Cc027AB531b975eD9,0x1ca3B9875898A12df3E0CC2dfE005F29244b2A44,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x84895C6279E50C584CEbEd4963672F730b448df0,0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,0x83dC7F38F94c5D0e0dC3695330367acb2a764907
0x534326Bf183d0E5bA3ecD5708e1882E5186CFE82,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xEdf39b68dF1031F96d9Ac20165fCedfaaef47e69
0xDBe8F13E428b37bf04c16f9f49978e341657cEEE,0x5c5Dd26D963d9779f3cE30a1EA8ffA8663f774b8,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xb88E609f578F40E9Bd0F23B9a453f5761ad95552,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,0xc60d349F4B019CA126028a903bA562d883abC134
0x9f009dfCABA22C8064ea4B8AF38eDe992e1Dfc43,0x63EF3d93fFBAC89816E5766584dC6243Da2d3D5e,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E
